,handelsbenaming,gemiddelde_prijs,max_cilinders
0,AUDI S8,162761.0,10
1,AUDI A8,148436.0,8
2,AUDI S6,144485.0,10
3,AUDI A8L,143728.0,6
4,S6  AVANT,131992.0,10
5,AUDI Q7,113651.375,8
6,A6 ALLROAD QUATTRO,105879.5,6
7,AUDI S5,98992.5,8
8,AUDI S5 CABRIOLET,98748.0,6
9,Q7,92775.0,6
10,AUDI A4 AVANT 2.0 TDI QUATTRO,91959.0,4
11,AUDI Q5 QUATTRO,87036.0,6
12,AUDI A6 ALLROAD QUATTRO,84949.0,6
13,AUDI S4,82942.66666666667,6
14,AUDI TTS,77336.0,4
15,AUDI Q5 HYBRID,76658.0,4
16,AUDI A4 ALLROAD QUATTRO,71126.0,6
17,AUDI Q5,68396.25806451614,6
18,Q5,67944.66666666667,6
19,AUDI A5 CABRIOLET,67251.5,6
20,Q4 45 E-TRON,63510.0,0
21,A6 AVANT,61727.8,6
22,A5 CABRIOLET,59855.0,4
23,AUDI A6,56654.098039215685,6
24,A5 COUPE,56033.666666666664,6
25,AUDI A5,55356.0,6
26,AUDI S3,54219.0,4
27,A6 LIMOUSINE,54041.0,6
28,AUDI TT,53829.230769230766,6
29,AUDI Q3,53756.0,4
30,Q3,52168.0,4
31,A5 SPORTBACK,49966.92307692308,4
32,A4 AVANT,45222.944444444445,6
33,AUDI A4,44900.53153153153,6
34,AUDI A3 CABRIOLET,43350.75,4
35,A4 LIMOUSINE,42264.22222222222,4
36,TT CABRIOLET,39391.0,4
37,AUDI A3,33576.15873015873,4
38,A3 SPORTBACK,30035.5,4
39,A3,28542.5,4
40,A1,25284.25,4
41,AUDI A1,23340.658536585364,4
42,A1 SPORTBACK,22510.833333333332,4
